Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
313,III. Angiosperms,Poaceae,Poaceae,Phragmites,Phragmites,Phragmites australis,,Phragmites australis,(Cav.) Trin. ex Steud.,Throughout throughout China; worldwide distribution.,"Occurs in salt-lake shores marsh, strongly salinized marshland or sandy soil.","Perennial grass, geophyte",Plant height 20–150 cm,"Rhizome very well developed; leaf blade lanceolate-linear, leathery and hard; panicle long 10–30 cm, spikelets long about 12 mm, lemma glabrous, base disc extending long, densely covered with filiform pubescent. Flowering and fruiting period summer to autumn.",Salt-excluding halophyte,Aquatic or hygrophytic; psammophytic,800 mM (74.5 dS/m); 500 mM; 480 mM (40.6 dS/m),Salinity tolerance value from database,C3,"Fiber, soil and water conservation, ecological use, roots medicinal","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
314,III. Angiosperms,Poaceae,Poaceae,Phragmites,Phragmites,Phragmites karka,,Phragmites karka,(Retz.) Trin. ex Steud.,Distributed in South China and Southwest China; also found in southern Asia and Oceania.,Occurs in river rivers and lakes coast wetland.,"Perennial grass, geophyte",Plant height 3–6 m,"Panicle large type, long 30–50 cm, lemma base disc slender and curved, bian borne short on its glume body of sparse pubescent. Flowering and fruiting period August–December.",Salt-excluding halophyte,Aquatic or hygrophytic,300 mM,Salinity tolerance value from database,C3,"Fiber, soil and water conservation, ecological use",eHALOPH
315,III. Angiosperms,Poaceae,Poaceae,Isachne,Isachne,Isachne globosa,,Isachne globosa,(Thunb.) Kuntze,"Distributed in North China, East China, Central China and South China; Asia southeastern part and Oceania also found.",Occurs in gentle slopes or plains moist grassland.,"Perennial grass, geophyte",Plant height 30–60 cm,"Leaf blade lanceolate, wide 3–8 mm, base slightly cordate; panicle spreading, branched with yellow gland spots, spikelets elliptic round-shaped globose, long 2–2.5 mm, containing 2 florets; glumes fruit subglobose. Flowering and fruiting period summer to autumn.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value); 42 mM (2700 mg/L)",0,C3,Ecological use,Supplemented based on field surveys
316,III. Angiosperms,Poaceae,Poaceae,Enneapogon,Enneapogon,Enneapogon desvauxii,,Enneapogon desvauxii,P.Beauv.,Distributed in North China and Northwest China; northern Asia also found.,Occurs in dry slopes or salinized and alkalized sandy soil.,"Perennial grass, geophyte",Plant height 5–35 cm,"Panicle short spike-shaped, constricted appearing cylindrical, long 1–3.5 cm, spikelets usually containing 2–3 florets, lemma with 7–9 veins or to numerous veins, apex with 9 strips erect feathery-shaped awn, awn long 2–4 mm. Flowering and fruiting period August–November.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
317,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis atrovirens,,Eragrostis atrovirens,(Desf.) Trin. ex Steud.,Distributed in South China and Southwest China; Asia and Africa warm regions also found.,Occurs in wasteland or watersides sandy soil.,"Perennial grass, geophyte",Plant height 50–100 cm,"Panicle spreading, long 5–20 cm, wide 2–4 cm, spikelets narrow ju shape, long 5–10 mm, rachilla persistent, palea and lemma same when deciduous, caryopsis and glume body free. Flowering and fruiting period summer to autumn.",Salt-excluding halophyte,Mesophytic,240 mM (24 dS/m),Salinity tolerance value from database,C4,Forage,eHALOPH
318,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis ferruginea,,Eragrostis ferruginea,(Thunb.) P.Beauv.,"Distributed in North China, East China, South China and Southwest China; East Asia, Southeast Asia and South Asia also found.","Occurs in wasteland, slopes grassland or seashore sandy soil.","Perennial grass, geophyte",Plant height 30–110 cm,"Panicle large and spreading, branchlets and spikelets stalk middle part or middle part above with glands, spikelets oblong, each one florets lemma and palea not same when deciduous; caryopsis brown red. Flowering and fruiting period August–December.",Salt-excluding halophyte,Mesophytic,"Unknown, 500 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
319,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis pilosa,,Eragrostis pilosa,(L.) P.Beauv.,Distributed in throughout China; worldwide widely distributed.,"Occurs in wasteland, fields or sandy land.",Annual grass,Plant height 8–45 cm,"Panicle spreading, long 6–15 cm, without glands, branched axil among often with villous, spikelets long 3–10 mm, first glumes without veins, long 1 mm below, palea than lemma chi luo or persistent. Flowering and fruiting period August–November.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value); 42 mM (2700 mg/L)",0,C4,"Forage, medicinal",Handbook of Halophytes 554
320,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis autumnalis,,Eragrostis autumnalis,Keng,Distributed in North China and East China.,"Occurs in open wasteland, grassland or saline-alkaline sandy soil.",Annual grass,Plant height 30–60 mm,"Panicle spreading or constricted, long 20–40 cm, without glands, branched axil among ye glabrous, spikelets long 3–5 mm, containing 3–10 florets, first glumes with 1 vein, long about 1.5 mm. Flowering and fruiting period July–November.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value); 42 mM (2700 mg/L)",0,C4,Forage,Supplemented based on field surveys
321,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis cilianensis,,Eragrostis cilianensis,(All.) Vignolo ex Janch.,Distributed in throughout China; worldwide widely distributed.,"Occurs in open wasteland, sandy soil or grassland.",Annual grass,Plant height 30–90 cm,"Panicle oblong or pointed pyramidal shape, branched axil among with pubescent, branchlets and spikelets stalk on found in all glands, spikelets wide 2–3 mm, with 10–40 florets, first lemma long about 2.5 mm. Flowering and fruiting period July–October.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value); 42 mM (2700 mg/L)",0,C4,Forage,Supplemented based on field surveys
322,III. Angiosperms,Poaceae,Poaceae,Eragrostis,Eragrostis,Eragrostis minor,,Eragrostis minor,Host,Distributed in throughout China; worldwide widely distributed.,"Occurs in grassland, wasteland or sandy soil.",Annual grass,Plant height 15–50 mm,"Panicle spreading and sparse pine, branched axil among glabrous, branched and spikelets stalk on dou with glands, spikelets wide 1.5–2 mm, containing 3–16 florets, first lemma long about 2 mm. Flowering and fruiting period June–September.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value); 42 mM (2700 mg/L)",0,C4,Forage,Supplemented based on field surveys
323,III. Angiosperms,Poaceae,Poaceae,Zoysia,Zoysia,Zoysia macrostachya,,Zoysia macrostachya,Franch. & Sav.,"Distributed in Shandong, Anhui, Jiangsu, Zhejiang and Fujian; Japan and Korea also found.",Occurs in sandy soil or seashore sandy land.,"Perennial grass, geophyte",Plant height 10–20 cm,"Rhizome horizontally creeping; leaf blade linear-lanceolate, wide 1–4 mm; raceme constricted appearing spike-shaped, base often enclosing hidden on leaf sheath inner, spikelets wide about 2 mm, in main axis on arranged relatively compact, first glumes fully entire reduced. Flowering and fruiting period June–September.",Salt-secreting halophyte,Mesophytic,600 mM (40000 mg/L); 300 mM,Salinity tolerance value from database,C4,Turfgrass,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
324,III. Angiosperms,Poaceae,Poaceae,Zoysia,Zoysia,Zoysia macrantha,,Zoysia macrantha,Desv.,"Native to Australia, Jiangsu ceng introduced cultivated.",Occurs in open sandy soil.,"Perennial grass, geophyte",Plant height 10–30 cm,"Leaf blade wide 1–4 mm; raceme constricted appearing spike-shaped, long 1.5–5 cm, spikelets long 2–5 mm, inflorescence stalk short, apex expanded large, glumes base margin connate, lemma long 3.5 mm. Flowering and fruiting period September–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 500 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Turfgrass,eHALOPH
325,III. Angiosperms,Poaceae,Poaceae,Zoysia,Zoysia,Zoysia japonica,,Zoysia japonica,Steud.,Distributed in eastern China and southern part coastal areas; Japan and Korea also found.,"Occurs in plains, slopes or seashore grassland.","Perennial grass, geophyte",Plant height 15–20 cm,"Leaf blade wide 2–4 mm; raceme appearing spike-shaped, base exserted leaf sheath outer, spikelets stalk curved, long up to 5 mm, spikelets long 2.5–3.5 mm, ovate, second glumes textured stiff and slightly lustrous. Flowering and fruiting period May–August.",Salt-secreting halophyte,Mesophytic,550 mM (48 dS/m); 300 mM; 160 mM (16 dS/m),Salinity tolerance value from database,C4,Turfgrass,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
326,III. Angiosperms,Poaceae,Poaceae,Zoysia,Zoysia,Zoysia matrella,,Zoysia matrella,(L.) Merr.,"Distributed in Guangdong, Hainan and Taiwan; East Asia, Southeast Asia and South Asia also found.",Occurs in coast sandy land.,"Perennial grass, geophyte",Plant height 12–20 cm,"Leaf blade often involute, wide 1–2 mm; raceme appearing slender column shape, spikelets stalk robust straight, long about 1.5 mm, spikelets long 2–3 mm, wide about 1 mm, lanceolate. Flowering and fruiting period July–October.",Salt-secreting halophyte,Mesophytic,550 mM (48 dS/m); 400 mM; 350 mM (30 dS/m),Salinity tolerance value from database,C4,Turfgrass,"eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
327,III. Angiosperms,Poaceae,Poaceae,Sporobolus,Sporobolus,Sporobolus alterniflorus,,Sporobolus alterniflorus,(Loisel.) P.M.Peterson & Saarela,"Native to North America Atlantic Ocean coasts, eastern China and southern part coast band cultivated after naturalized.",Occurs in beach marshland.,"Perennial grass, geophyte",Plant height 50–200 cm,"Leaf blade long 10–90 cm, wide 1–2 mm; spike long 5–20 cm, 10–20 racemose attached borne on main axis on, spikelets glabrous, at maturity entire deciduous. Flowering and fruiting period August–October.",Salt-secreting halophyte,Aquatic or hygrophytic,600 mM; 500 mM,Salinity tolerance value from database,C4,Fiber; invasive,"eHALOPH; Handbook of Halophytes 38; Chinese Halophytes, 2nd edition"
328,III. Angiosperms,Poaceae,Poaceae,Sporobolus,Sporobolus,Sporobolus anglicus,,Sporobolus anglicus,(C.E.Hubb.) P.M.Peterson & Saarela,"Native to United Kingdom, East China coast band cultivated after naturalized.",Occurs in beach marshland.,"Perennial grass, geophyte",Plant height 10–120 cm,"Leaf blade long 10–20 cm, wide 7–10 mm; spike long 7–23 cm, 2–6 racemose attached borne on main axis on, spikelets covered with pubescent. Flowering and fruiting period August–October.",Salt-secreting halophyte,Aquatic or hygrophytic,800 mM,Salinity tolerance value from database,C4,Fiber; invasive,"eHALOPH; Handbook of Halophytes 38; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
329,III. Angiosperms,Poaceae,Poaceae,Sporobolus,Sporobolus,Sporobolus virginicus,,Sporobolus virginicus,(L.) Kunth,"Distributed in East China and South China; East Asia, Southeast Asia and South Asia also found.",Occurs in beach salt ground on or fields sandy soil.,"Perennial grass, geophyte",Plant height 15–60 cm,"With rhizome; leaf blade linear, involute appearing needle-like, long 3–11 cm, without warts hairs; panicle gray-green, constricted appearing spike-shaped, narrow forming linear, branched appressed borne; spikelets long 2.5–3 mm, first glumes long about 2.5 mm. Flowering and fruiting period June–September.",Salt-secreting halophyte,Mesophytic; psammophytic,1750 mM; 450 mM; 400 mM; 80 mM (8 dS/m),Salinity tolerance value from database,C4,"Forage, sand stabilization, ecological use","eHALOPH; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
330,III. Angiosperms,Poaceae,Poaceae,Sporobolus,Sporobolus,Sporobolus schoenoides,,Sporobolus schoenoides,(L.) P.M.Peterson,"Distributed in North China, Northwest China and East China; Central Asia and the Mediterranean region also found.",Occurs in watersides sandy soil or saline-alkaline flats.,Annual grass,Plant height 5–17 cm,"Leaf blade long 2–6 cm; panicle constricted forming spike-shaped, round column-shaped or oblong, long 1–3 cm, its lower receptacle by one swollen large bract-shaped leaf sheath, spikelets long about 3 mm, stamens 3. Flowering and fruiting period June–September.",Salt-secreting halophyte,Hygrophytic,"Unknown, 400 mM (estimated value); 250 mM (15800 mg/L)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,"eHALOPH; Handbook of Halophytes 29, 557; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
331,III. Angiosperms,Poaceae,Poaceae,Sporobolus,Sporobolus,Sporobolus aculeatus,,Sporobolus aculeatus,(L.) P.M.Peterson,"Distributed in North China, Northwest China and East China; Central Asia and the Mediterranean region also found.","Occurs in riverbanks, grooves sides or saline-alkaline land.",Annual grass,Plant height 5–40 cm,"Panicle short contracted forming head-shaped or ovate orbicular, long about 16 mm, wide 5–13 mm, lower surface tight receptacle two in number swollen large bract-shaped leaf sheath, spikelets long about 4 mm, stamens 2. Flowering and fruiting period May–September.",Salt-secreting halophyte,Hygrophytic,"Unknown, 400 mM (estimated value); 80 mM (5100 mg/L)",Maximum salinity not recorded in eHALOPH,C4,"Forage, ecological use","eHALOPH; Handbook of Halophytes 29, 557; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
332,III. Angiosperms,Poaceae,Poaceae,Bouteloua,Bouteloua,Bouteloua curtipendula,,Bouteloua curtipendula,(Michx.) Torr.,"Native to North America, Beijing and Taiwan and elsewhere introduced and cultivated.",Occurs in open sandy soil.,"Perennial grass, geophyte",Plant height 30–100 cm,"Spike 10–50, long 8–18 mm, often pendulous and oblique borne on main axis of one lateral, mature after entire deciduous, spikelets not forming pectinate dentate arranged, fertile flower lemma only minutely mucronate. Flowering and fruiting period summer to autumn.",Salt-secreting halophyte,Mesophytic,"Unknown, 250 mM (estimated value)",0,C4,Forage,Supplemented based on flora records
333,III. Angiosperms,Poaceae,Poaceae,Bouteloua,Bouteloua,Bouteloua dactyloides,,Bouteloua dactyloides,(Nutt.) Columbus,"Native to United States, China North China and elsewhere introduced and cultivated.",Occurs in open sandy soil.,"Perennial grass, geophyte",Plant height 5–25 cm,"Rhizome long and horizontally creeping; leaf blade linear, wide 1–2 mm, covered with white pubescent; male inflorescence with 2–3 racemose arranged spike, long 5–15 mm, female inflorescence often appearing head-shaped, long 6–9 mm. Flowering and fruiting period May–July.",Salt-secreting halophyte,Mesophytic,600 mM; 160 mM (16.3 dS/m); 160 mM (10000 mg/L),0,C4,Forage,Supplemented based on field surveys
334,III. Angiosperms,Poaceae,Poaceae,Dactyloctenium,Dactyloctenium,Dactyloctenium aegyptium,,Dactyloctenium aegyptium,(L.) Willd.,"Distributed in East China, South China and Southwest China; chu the Americas outer world nuan temperate regions widely distributed.",Occurs in wasteland or sandy soil.,Annual grass,Plant height 15–60 cm,"Spike 2–7 finger-like-shaped arranged on culms apex, long 1–4 cm, without terminal spikelets, spikelets sessile, two lateral compressed, forming two rows tight appressed ground imbricate on narrow and flattened rachis one lateral, awn long 1–2 mm. Flowering and fruiting period May–October.",Salt-secreting halophyte,Mesophytic,250 mM; 160 mM,Salinity tolerance value from database,C4,Weed,eHALOPH
335,III. Angiosperms,Poaceae,Poaceae,Eleusine,Eleusine,Eleusine coracana,,Eleusine coracana,(L.) Gaertn.,"Native to Africa, southern China and Southwest China part introduced and cultivated, worldwide widely cultivated.",Occurs in slopes dry land.,Annual grass,Plant height 50–120 cm,"Spike 5–8 appearing finger-like-shaped attached culms apex, at maturity often inner curved, long 5–10 cm, wide 8–10 mm; seeds subglobose. Flowering and fruiting period May–September.",Salt-secreting halophyte,Mesophytic,250 mM; 180 mM,Salinity tolerance value from database,C4,"Food crop, forage",eHALOPH
336,III. Angiosperms,Poaceae,Poaceae,Eleusine,Eleusine,Eleusine indica,,Eleusine indica,(L.) Gaertn.,Distributed in throughout China; world hot band subtropical regions widely distributed.,Occurs in open wasteland or sandy soil.,Annual grass,Plant height 10–90 cm,"Spike 2–7 finger-like-shaped attached borne on culms apex, branched not curved, long 3–10 cm, wide 3–5 mm; seeds ovate. Flowering and fruiting period June–October.",Salt-secreting halophyte,Hygrophytic,200 mM (19 dS/m),Salinity tolerance value from database,C4,Forage,eHALOPH
337,III. Angiosperms,Poaceae,Poaceae,Diplachne,Diplachne,Diplachne fusca,,Diplachne fusca,(L.) P.Beauv. ex Roem. & Schult.,"Distributed in North China, East China and South China; Southeast Asia, South Asia and Australia also found.",Occurs in saline-alkaline wetland.,"Perennial grass, geophyte",Plant height 20–90 cm,"Panicle long 15–25 cm, spikes numerous, appearing racemose arranged on extending long inflorescence main axis on, spikelets linear-oblong, lemma abaxial side slightly round, apex with 2 teeth lobed, teeth among with 1 short awn. Flowering and fruiting period June–September.",Salt-excluding halophyte,Hygrophytic,500 mM (seawater salinity); 150 mM (15 dS/m),Salinity tolerance value from database,C4,Forage,eHALOPH
338,III. Angiosperms,Poaceae,Poaceae,Leptochloa,Leptochloa,Leptochloa chinensis,,Leptochloa chinensis,(L.) Nees,"Distributed in East China and South China; East Asia, Southeast Asia and South Asia also found.","Occurs in wasteland, sandy soil or wetland.",Annual grass,Plant height 30–90 cm,"Leaf sheath and leaf blade all glabrous; panicle long 10–30 cm, inflorescence branched relatively coarse robust, long 5–10 cm, spikelets often band purple, long 2–4 mm, containing 3–7 florets. Flowering and fruiting period August–November.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value)",0,C4,Weed,Supplemented based on flora records
339,III. Angiosperms,Poaceae,Poaceae,Leptochloa,Leptochloa,Leptochloa panicea,,Leptochloa panicea,(Retz.) Ohwi,"Distributed in North China, East China, South China and Southwest China; East Asia, Southeast Asia and South Asia also found.","Occurs in fields, wasteland or sandy soil.",Annual grass,Plant height 30–60 cm,"Leaf sheath and leaf blade all with warts base villous; inflorescence branched very slender weak, long 2.5–6 cm, spikelets gray-green or band purple, long 1–2 mm, containing 2–4 florets. Flowering and fruiting period July–October.",Neo-halophyte,Mesophytic,"Unknown, 100 mM (estimated value)",0,C4,Weed,Supplemented based on field surveys
340,III. Angiosperms,Poaceae,Poaceae,Enteropogon,Enteropogon,Enteropogon dolichostachyus,,Enteropogon dolichostachyus,(Lag.) Keng,"Distributed in Hainan, Taiwan and Yunnan; Southeast Asia and South Asia also found.",Occurs in seashore sandy land or open wild grassland.,"Perennial grass, geophyte",Plant height 30–200 cm,"Spike 4–5, long 10–25 cm, finger-like-shaped attached borne on culms apex, spikelets lanceolate, long 5–7 mm, lemma mostly few with xie abaxial adaxial compressed, its margin zhu veins on glabrous, awn long 8–16 mm. Flowering and fruiting period August–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C4,Weed,Supplemented based on flora records
341,III. Angiosperms,Poaceae,Poaceae,Enteropogon,Enteropogon,Enteropogon unispiceus,,Enteropogon unispiceus,(F.Muell.) Clayton,"Distributed in Taiwan, Southeast Asia and Australia also found.",Occurs in seashore sandy land.,"Perennial grass, geophyte",Plant height 30–60 cm,"Spike single protruding terminal or 2–3 finger-like-shaped attached borne on culms apex, long about 7 cm, spikelets long 4–5 mm, awn slightly long on lemma. Flowering and fruiting period September.",Salt-secreting halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C4,Weed,Supplemented based on flora records
342,III. Angiosperms,Poaceae,Poaceae,Chloris,Chloris,Chloris gayana,,Chloris gayana,Kunth,"Native to Africa, southern China introduced and cultivated after naturalized.",Occurs in open grassland or sandy land.,"Perennial grass, geophyte",Plant height 100–150 cm,"Leaf blade apex acuminate; spike several to ten remaining in number clusters borne on culms apex, long about 10 cm, spikelets long 4–4.5 mm, first outer margins glume margin and keel two lateral hairy, not fertile lemma 2–3, narrow narrow, apex pointed and emarginate. Flowering and fruiting period April–October.",Neo-halophyte (salt-secreting halophyte),Mesophytic; psammophytic,100 mM (10 dS/m); 80 mM (8 dS/m),Salinity tolerance value from database,C4,Forage,eHALOPH
343,III. Angiosperms,Poaceae,Poaceae,Chloris,Chloris,Chloris virgata,,Chloris virgata,Sw.,"Distributed in eastern part, North China, Northwest China, East China and Southwest China; South Asia and Oceania also found.","Occurs in riverbanks sandy land, dry slopes or arid saline-alkaline land.",Annual grass,Plant height 12–75 cm,"Spike 5–10 remaining in number, long 1.5–5 cm, finger-like-shaped attached borne on culms apex, often erect and long forming hairs shua-shaped, spikelets chu glumes outer with 2 awn, not fertile lemma apex wide broad and truncate. Flowering and fruiting period June–October.",Salt-secreting halophyte,Xerophytic,300 mM,Salinity tolerance value from database,C4,Forage,eHALOPH
344,III. Angiosperms,Poaceae,Poaceae,Chloris,Chloris,Chloris formosana,,Chloris formosana,(Honda) Keng,"Distributed in Fujian, Guangdong, Hainan and Taiwan; Vietnam also found.",Occurs in seashore sandy land.,Annual grass,Plant height 20–70 cm,"Spike 4–11, long 3–8 cm, spikelets chu glumes outer with 3 awn, long 2.5–3 mm, not fertile lemma long large on wide, not fertile florets sparse separate and its among rachilla xian exposed. Flowering and fruiting period August–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C4,Forage,Supplemented based on field surveys
345,III. Angiosperms,Poaceae,Poaceae,Lepturus,Lepturus,Lepturus repens,,Lepturus repens,(G.Forst.) R.Br.,Distributed in xi sand archipelagos and Taiwan; Asia southeastern part and Oceania also found.,Occurs in seashore coral reefs.,"Perennial grass, geophyte",Plant height 20–40 cm,"Leaf blade textured stiff, linear, often involute; spike erect, round column-shaped, long 5–10 cm, coarse about 1.5 mm, spikelets containing 2 florets, long about 12 mm, qianborne on rachis concave xue in, and rachis internodes one qi deciduous. Flowering and fruiting period entire year.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C4,Forage,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
346,III. Angiosperms,Poaceae,Poaceae,Cynodon,Cynodon,Cynodon dactylon,,Cynodon dactylon,(L.) Pers.,"Distributed in North China, East China, South China and Southwest China; world warm regions widely distributed.","Occurs in wasteland, dry slopes or seashore sandy land.","Perennial grass, geophyte",Plant height 10–30 cm,"Rhizome long and creeping; spike 3–5 finger-like-shaped attached, long 2–6 cm, spikelets imbricate on rachis one lateral, without awn, long 2–2.5 mm, only containing 1 florets, lemma textured soft, relatively glumes is long. Flowering and fruiting period May–October.",Salt-secreting halophyte,Mesophytic; psammophytic,400 mM; 200 mM; 90 mM (5700 mg/L),Salinity tolerance value from database,C4,Weed,"eHALOPH; Handbook of Halophytes 557; Chinese Halophytes, 2nd edition"
347,III. Angiosperms,Poaceae,Poaceae,Cleistogenes,Cleistogenes,Cleistogenes songorica,,Cleistogenes songorica,(Roshev.) Ohwi,Distributed in North China and Northwest China; northern Asia regions also found.,"Occurs in dry steppe, desert or half desert sandy soil.","Perennial grass, geophyte",Plant height 15–50 cm,"Culms base with dense withered leaf sheath; leaf blade wide 1.5–2.5 mm; panicle spreading, long 2–8 cm, spikelets long 4–8 mm, containing 3–6 florets, lemma without awn or with long 0.5 mm small pointed tip. Flowering and fruiting period July–September.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition front matter"
348,III. Angiosperms,Poaceae,Poaceae,Cleistogenes,Cleistogenes,Cleistogenes squarrosa,,Cleistogenes squarrosa,(Trin.) Keng,"Distributed in Northeast China, North China and Northwest China; northern Asia regions also found.","Occurs in dry steppe, hills sloping ground or sandy soil.","Perennial grass, geophyte",Plant height 10–30 cm,"Culms slender slender, dense tufted, often spreading spreading, dry after often forming wan yan-shaped curved, plant green; leaf blade wide 1–2 mm; panicle narrow, long 4–7 cm, spikelets few, long 5–7 mm, containing 2–3 florets. Flowering and fruiting period July–September.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition front matter"
349,III. Angiosperms,Poaceae,Poaceae,Cleistogenes,Cleistogenes,Cleistogenes polyphylla,,Cleistogenes polyphylla,Keng ex Keng f. & L.Liou,Distributed in Northeast China and North China and elsewhere.,"Occurs in dry slopes, grooves shore or sandy soil.","Perennial grass, geophyte",Plant height 15–40 cm,"Culms relatively coarse robust, erect, with mostly nodes; leaves relatively mostly, leaf blade textured stiff, oblique on, wide 2–4 mm; panicle narrow, base often is leaf sheath enclosing, spikelets long 8–13 mm, containing 3–7 florets. Flowering and fruiting period July–October.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition front matter"
350,III. Angiosperms,Poaceae,Poaceae,Dinebra,Dinebra,Dinebra retroflexa,,Dinebra retroflexa,(Vahl) Panz.,"Native to Africa, Southwest Asia and South Asia, Fujian, Shandong and Yunnan naturalized.",Occurs in wasteland or fields.,"Annual grass, geophyte",Plant height 14–17 cm,"Racemose panicle terminal, long 6–20 cm, spikes numerous irregularly arranged along the main axis, short, long 0.5–4 cm, spikelets containing 2–3 florets, glumes longer than the florets. Flowering and fruiting period November–December.",Salt-secreting halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C4,Forage,Supplemented based on flora records
351,III. Angiosperms,Poaceae,Poaceae,Aeluropus,Aeluropus,Aeluropus sinensis,,Aeluropus sinensis,(Debeaux) Tzvelev,"Distributed in North China, East China and Northwest China.","Occurs in coast sandy beach, saline-alkaline flats or salinized meadow.","Perennial grass, geophyte",Plant height 15–35 cm,"Plant with long creeping branches; leaf blade wide 3–6 mm; panicle spike shape, long 2–5 cm, branched arranged compact and zhong die, spikelets long 4–6 mm, with 4–6 florets, glumes glabrous, lemma glabrous ye without awn. Flowering and fruiting period June–August.",Salt-secreting halophyte,Mesophytic,"Unknown, 500 mM (estimated value)",0,C4,"Forage, medicinal, sand stabilization, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
352,III. Angiosperms,Poaceae,Poaceae,Aeluropus,Aeluropus,Aeluropus micrantherus,,Aeluropus micrantherus,Tzvelev,Distributed in Xinjiang; Mongolia also found.,"Occurs in riverbanks sandy land, sand dunes or plains Gobi gravel desert.","Perennial grass, geophyte",Plant height 6–30 cm,"Leaf blade wide 1–2 mm, both surfaces densely covered with slightly spiny hairs; panicle long 2–5 cm, spikelets ovate, long 2–3 mm, containing 2–6 florets, anthers long about 0.6–0.8 mm. Flowering and fruiting period September–October.",Salt-secreting halophyte,Mesophytic,"Unknown, 400 mM (estimated value)",0,C4,"Forage, sand stabilization, ecological use","Chinese Halophytes, 2nd edition"
353,III. Angiosperms,Poaceae,Poaceae,Aeluropus,Aeluropus,Aeluropus pungens,,Aeluropus pungens,K.Koch,Distributed in Gansu and Xinjiang.,Occurs in saline-alkaline land or sandy land.,"Perennial grass, geophyte",Plant height 5–25 cm,"Leaf blade wide about 1.5 mm, glabrous; panicle spike-shaped, long 2–7 cm, branched each other sparse separate and not zhong die, spikelets long 2–4 mm, containing 4–8 florets, glumes and glume segments margin densely covered with long slender hairs. Flowering and fruiting period May–August.",Salt-secreting halophyte,Hygrophytic,800 mM,0,C4,"Forage, sand stabilization, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
354,III. Angiosperms,Poaceae,Poaceae,Aeluropus,Aeluropus,Aeluropus pilosus,,Aeluropus pilosus,(H.L.Yang) S.L.Chen & X.L.Yang,Distributed in Xinjiang.,Occurs in Gobi gravel desert.,"Perennial grass, geophyte",Plant height 12–20 cm,"Leaf sheath and leaf blade both surfaces all dense hairy; panicle spike-shaped, long 3–4 cm, branched not zhong die, spikelets long 3–4 mm, containing 3–4 florets, glumes and glume segments entire body densely covered pubescent. Flowering period July.",Salt-secreting halophyte,Mesophytic,"Unknown, 500 mM (estimated value)",0,C4,"Forage, sand stabilization, ecological use","Chinese Halophytes, 2nd edition"
